"state","year_offset","agc_Tg","area_Mha"
"NY",30,462.924,5.856
"NY",40,474.147,5.856
"NY",50,480.669,5.856
"NY",60,483.003,5.856
"NY",70,482.124,5.856
"NY",80,479.327,5.856
"NY",90,475.094,5.856
"NY",100,470.159,5.856
"OH",0,191.519,2.9268
"OH",10,218.426,2.9268
"OH",20,242.094,2.9268
"OH",30,260.93,2.9268
"OH",40,276.288,2.9268
"OH",50,285.357,2.9268
"OH",60,290.971,2.9268
"OH",70,290.623,2.9268
"OH",80,280.925,2.9268
"OH",90,266.373,2.9268
"OH",100,253.999,2.9268
"OK",0,137.82,3.4058
"OK",10,154.375,3.4058
"OK",20,165.388,3.4058
"OK",30,169.518,3.4058
"OK",40,168.336,3.4058
"OK",50,164.204,3.4058
"OK",60,159.31,3.4058
"OK",70,153.563,3.4058
"OK",80,147.799,3.4058
"OK",90,141.992,3.4058
"OK",100,136.367,3.4058
"OR",0,992.31,10.5466
"OR",10,1053.866,10.5466
"OR",20,1105.731,10.5466
"OR",30,1148.595,10.5466
"OR",40,1184.044,10.5466
"OR",50,1212.92,10.5466
"OR",60,1235.977,10.5466
"OR",70,1254.515,10.5466
"OR",80,1268.684,10.5466
"OR",90,1279.113,10.5466
"OR",100,1285.988,10.5466
"PA",0,478.97,6.3815
"PA",10,514.796,6.3815
"PA",20,540.587,6.3815
"PA",30,555.319,6.3815
"PA",40,562.31,6.3815
"PA",50,559.043,6.3815
"PA",60,550.738,6.3815
"PA",70,538.639,6.3815
"PA",80,524.834,6.3815
"PA",90,509.907,6.3815
"PA",100,497.17,6.3815
"RI",0,6.29,0.0862
"RI",10,6.863,0.0862
"RI",20,7.08,0.0862
"RI",30,7.1,0.0862
"RI",40,6.679,0.0862
"RI",50,6.047,0.0862
"RI",60,5.42,0.0862
"RI",70,4.703,0.0862
"RI",80,4.056,0.0862
"RI",90,3.481,0.0862
"RI",100,2.976,0.0862
"SC",0,224.075,4.3985
"SC",10,260.791,4.3985
"SC",20,279.195,4.3985
"SC",30,285.278,4.3985
"SC",40,283.991,4.3985
"SC",50,276.847,4.3985
"SC",60,264.262,4.3985
"SC",70,250.723,4.3985
"SC",80,238.392,4.3985
"SC",90,227.791,4.3985
"SC",100,218.628,4.3985
"SD",0,16.374,0.5348
"SD",10,17.267,0.5348
"SD",20,17.908,0.5348
"SD",30,18.395,0.5348
"SD",40,18.745,0.5348
"SD",50,19.035,0.5348
"SD",60,19.257,0.5348
"SD",70,19.385,0.5348
"SD",80,19.47,0.5348
"SD",90,19.535,0.5348
"SD",100,19.605,0.5348
"TN",0,283.627,4.1389
"TN",10,318.893,4.1389
"TN",20,347.894,4.1389
"TN",30,371.454,4.1389
"TN",40,389.085,4.1389
"TN",50,398.265,4.1389
"TN",60,395.933,4.1389
"TN",70,376.853,4.1389
"TN",80,336.515,4.1389
"TN",90,287.193,4.1389
"TN",100,248.022,4.1389
"TX",0,283.501,8.1372
"TX",10,332.435,8.1372
"TX",20,370.464,8.1372
"TX",30,397.478,8.1372
"TX",40,413.591,8.1372
"TX",50,418.725,8.1372
"TX",60,413.867,8.1372
"TX",70,397.732,8.1372
"TX",80,376.06,8.1372
"TX",90,352.154,8.1372
"TX",100,328.935,8.1372
"UT",0,108.684,5.0243
"UT",10,114.603,5.0243
"UT",20,119.655,5.0243
"UT",30,123.673,5.0243
"UT",40,126.556,5.0243
"UT",50,128.261,5.0243
"UT",60,129.127,5.0243
"UT",70,129.148,5.0243
"UT",80,128.65,5.0243
"UT",90,127.626,5.0243
"UT",100,126.182,5.0243
"VA",0,336.412,5.0831
"VA",10,378.604,5.0831
"VA",20,412.855,5.0831
"VA",30,439.21,5.0831
"VA",40,457.55,5.0831
"VA",50,469.06,5.0831
"VA",60,473.852,5.0831
"VA",70,473.714,5.0831
"VA",80,468.441,5.0831
"VA",90,458.63,5.0831
"VA",100,446.051,5.0831
"VT",0,139.084,2.0032
"VT",10,154.136,2.0032
"VT",20,166.58,2.0032
"VT",30,174.497,2.0032
"VT",40,177.361,2.0032
"VT",50,176.926,2.0032
"VT",60,173.344,2.0032
"VT",70,167.665,2.0032
"VT",80,160.332,2.0032
"VT",90,152.334,2.0032
"VT",100,144.475,2.0032
"WA",0,711.136,7.0102
"WA",10,764.878,7.0102
"WA",20,809.445,7.0102
"WA",30,843.38,7.0102
"WA",40,867.767,7.0102
"WA",50,883.289,7.0102
"WA",60,889.494,7.0102
"WA",70,889.841,7.0102
"WA",80,887.811,7.0102
"WA",90,885.002,7.0102
"WA",100,881.763,7.0102
"WI",0,384.233,7.6028
"WI",10,420.977,7.6028
"WI",20,449.186,7.6028
"WI",30,466.256,7.6028
"WI",40,474.253,7.6028
"WI",50,474.29,7.6028
"WI",60,465.483,7.6028
"WI",70,451.616,7.6028
"WI",80,434.479,7.6028
"WI",90,415.372,7.6028
"WI",100,395.463,7.6028
"WV",0,256.665,3.221
"WV",10,271.767,3.221
"WV",20,282.375,3.221
"WV",30,288.742,3.221
"WV",40,290.597,3.221
"WV",50,287.47,3.221
"WV",60,281.055,3.221
"WV",70,272.423,3.221
"WV",80,262.164,3.221
"WV",90,249.662,3.221
"WV",100,235.014,3.221
"WY",0,156.5,4.3216
"WY",10,166.523,4.3216
"WY",20,175.057,4.3216
"WY",30,182.236,4.3216
"WY",40,188.312,4.3216
"WY",50,193.389,4.3216
"WY",60,197.634,4.3216
"WY",70,201.163,4.3216
"WY",80,204.001,4.3216
"WY",90,206.113,4.3216
"WY",100,207.404,4.3216
