"state","scenario","year_offset","removed_cum_Tg"
"NE","managed (harvest)",60,1.886
"NE","managed (harvest)",70,1.992
"NE","managed (harvest)",80,2.118
"NE","managed (harvest)",90,2.165
"NE","managed (harvest)",100,2.325
"NH","managed (harvest)",0,0
"NH","managed (harvest)",10,9.097
"NH","managed (harvest)",20,15.535
"NH","managed (harvest)",30,22.383
"NH","managed (harvest)",40,27.631
"NH","managed (harvest)",50,32.086
"NH","managed (harvest)",60,36.269
"NH","managed (harvest)",70,39.663
"NH","managed (harvest)",80,42.105
"NH","managed (harvest)",90,44.334
"NH","managed (harvest)",100,46.064
"NJ","managed (harvest)",0,0
"NJ","managed (harvest)",10,4.018
"NJ","managed (harvest)",20,5.7
"NJ","managed (harvest)",30,7.477
"NJ","managed (harvest)",40,9.007
"NJ","managed (harvest)",50,11.896
"NJ","managed (harvest)",60,13.004
"NJ","managed (harvest)",70,14.239
"NJ","managed (harvest)",80,14.618
"NJ","managed (harvest)",90,16.219
"NJ","managed (harvest)",100,17.766
"NM","managed (harvest)",0,0
"NM","managed (harvest)",10,8.297
"NM","managed (harvest)",20,14.648
"NM","managed (harvest)",30,19.047
"NM","managed (harvest)",40,23.435
"NM","managed (harvest)",50,27.199
"NM","managed (harvest)",60,31.287
"NM","managed (harvest)",70,34.941
"NM","managed (harvest)",80,38.031
"NM","managed (harvest)",90,40.902
"NM","managed (harvest)",100,44.168
"NV","managed (harvest)",0,0
"NV","managed (harvest)",10,1.169
"NV","managed (harvest)",20,2.303
"NV","managed (harvest)",30,3.103
"NV","managed (harvest)",40,4.283
"NV","managed (harvest)",50,5.218
"NV","managed (harvest)",60,6.006
"NV","managed (harvest)",70,6.917
"NV","managed (harvest)",80,7.905
"NV","managed (harvest)",90,8.526
"NV","managed (harvest)",100,9.358
"NY","managed (harvest)",0,0
"NY","managed (harvest)",10,36.48
"NY","managed (harvest)",20,66.238
"NY","managed (harvest)",30,87.007
"NY","managed (harvest)",40,108.951
"NY","managed (harvest)",50,126.293
"NY","managed (harvest)",60,145.474
"NY","managed (harvest)",70,161.234
"NY","managed (harvest)",80,174.899
"NY","managed (harvest)",90,186.941
"NY","managed (harvest)",100,200.303
"OH","managed (harvest)",0,0
"OH","managed (harvest)",10,15.426
"OH","managed (harvest)",20,26.198
"OH","managed (harvest)",30,40.884
"OH","managed (harvest)",40,49.819
"OH","managed (harvest)",50,62.194
"OH","managed (harvest)",60,71.028
"OH","managed (harvest)",70,81.017
"OH","managed (harvest)",80,85.98
"OH","managed (harvest)",90,93.457
"OH","managed (harvest)",100,97.542
"OK","managed (harvest)",0,0
"OK","managed (harvest)",10,8.128
"OK","managed (harvest)",20,19.08
"OK","managed (harvest)",30,27.875
"OK","managed (harvest)",40,33.71
"OK","managed (harvest)",50,38.65
"OK","managed (harvest)",60,44.915
"OK","managed (harvest)",70,50.472
"OK","managed (harvest)",80,53.416
"OK","managed (harvest)",90,55.491
"OK","managed (harvest)",100,59.544
"OR","managed (harvest)",0,0
"OR","managed (harvest)",10,37.243
"OR","managed (harvest)",20,79.942
"OR","managed (harvest)",30,113.389
"OR","managed (harvest)",40,143.928
"OR","managed (harvest)",50,181.091
"OR","managed (harvest)",60,210.812
"OR","managed (harvest)",70,233.652
"OR","managed (harvest)",80,265.703
"OR","managed (harvest)",90,292.596
"OR","managed (harvest)",100,312
"PA","managed (harvest)",0,0
"PA","managed (harvest)",10,40.2
"PA","managed (harvest)",20,66.308
"PA","managed (harvest)",30,94.482
"PA","managed (harvest)",40,113.928
"PA","managed (harvest)",50,133.128
"PA","managed (harvest)",60,150.357
"PA","managed (harvest)",70,165.957
"PA","managed (harvest)",80,176.195
"PA","managed (harvest)",90,186.054
"PA","managed (harvest)",100,196.168
"RI","managed (harvest)",0,0
"RI","managed (harvest)",10,0.899
"RI","managed (harvest)",20,1.901
"RI","managed (harvest)",30,2.356
"RI","managed (harvest)",40,3.075
"RI","managed (harvest)",50,3.248
"RI","managed (harvest)",60,3.503
"RI","managed (harvest)",70,3.504
"RI","managed (harvest)",80,3.504
"RI","managed (harvest)",90,3.504
"RI","managed (harvest)",100,3.504
"SC","managed (harvest)",0,0
"SC","managed (harvest)",10,14.105
"SC","managed (harvest)",20,29.238
"SC","managed (harvest)",30,44.137
"SC","managed (harvest)",40,55.445
"SC","managed (harvest)",50,63.983
"SC","managed (harvest)",60,73.9
"SC","managed (harvest)",70,83.342
"SC","managed (harvest)",80,90.093
"SC","managed (harvest)",90,95.62
"SC","managed (harvest)",100,102.153
"SD","managed (harvest)",0,0
"SD","managed (harvest)",10,1.021
"SD","managed (harvest)",20,1.672
"SD","managed (harvest)",30,2.465
"SD","managed (harvest)",40,2.843
"SD","managed (harvest)",50,3.634
"SD","managed (harvest)",60,4.159
"SD","managed (harvest)",70,4.581
"SD","managed (harvest)",80,4.988
"SD","managed (harvest)",90,5.625
"SD","managed (harvest)",100,5.913
"TN","managed (harvest)",0,0
"TN","managed (harvest)",10,25.823
"TN","managed (harvest)",20,51.901
"TN","managed (harvest)",30,72.816
"TN","managed (harvest)",40,93.04
"TN","managed (harvest)",50,109.696
"TN","managed (harvest)",60,129.065
"TN","managed (harvest)",70,142.765
"TN","managed (harvest)",80,152.846
"TN","managed (harvest)",90,161.061
"TN","managed (harvest)",100,169.88
"TX","managed (harvest)",0,0
"TX","managed (harvest)",10,18.512
"TX","managed (harvest)",20,43.416
"TX","managed (harvest)",30,64.886
"TX","managed (harvest)",40,83.361
"TX","managed (harvest)",50,98.101
"TX","managed (harvest)",60,114.242
"TX","managed (harvest)",70,129.327
"TX","managed (harvest)",80,139.947
"TX","managed (harvest)",90,147.822
"TX","managed (harvest)",100,156.862
"UT","managed (harvest)",0,0
"UT","managed (harvest)",10,3.822
"UT","managed (harvest)",20,6.654
"UT","managed (harvest)",30,9.334
"UT","managed (harvest)",40,12.057
"UT","managed (harvest)",50,14.184
"UT","managed (harvest)",60,16.314
"UT","managed (harvest)",70,18.573
"UT","managed (harvest)",80,20.524
"UT","managed (harvest)",90,22.077
"UT","managed (harvest)",100,23.794
"VA","managed (harvest)",0,0
"VA","managed (harvest)",10,32.395
"VA","managed (harvest)",20,53.889
"VA","managed (harvest)",30,74.891
"VA","managed (harvest)",40,91.553
"VA","managed (harvest)",50,105.506
"VA","managed (harvest)",60,122.731
"VA","managed (harvest)",70,136.272
"VA","managed (harvest)",80,146.489
"VA","managed (harvest)",90,154.819
"VA","managed (harvest)",100,165.599
"VT","managed (harvest)",0,0
"VT","managed (harvest)",10,15.498
"VT","managed (harvest)",20,23.468
"VT","managed (harvest)",30,33.753
"VT","managed (harvest)",40,40.74
"VT","managed (harvest)",50,49.251
"VT","managed (harvest)",60,54.097
"VT","managed (harvest)",70,59.854
"VT","managed (harvest)",80,62.885
"VT","managed (harvest)",90,66.891
"VT","managed (harvest)",100,68.858
"WA","managed (harvest)",0,0
"WA","managed (harvest)",10,28.445
