"state","scenario","year_offset","agc_Tg"
"NE","reserve (no harvest)",90,9.713
"NE","reserve (no harvest)",100,9.605
"NH","reserve (no harvest)",0,111.713
"NH","reserve (no harvest)",10,121.196
"NH","reserve (no harvest)",20,128.516
"NH","reserve (no harvest)",30,133.696
"NH","reserve (no harvest)",40,136.201
"NH","reserve (no harvest)",50,136.511
"NH","reserve (no harvest)",60,134.312
"NH","reserve (no harvest)",70,130.593
"NH","reserve (no harvest)",80,125.931
"NH","reserve (no harvest)",90,120.797
"NH","reserve (no harvest)",100,115.656
"NJ","reserve (no harvest)",0,41.424
"NJ","reserve (no harvest)",10,44.109
"NJ","reserve (no harvest)",20,45.957
"NJ","reserve (no harvest)",30,46.738
"NJ","reserve (no harvest)",40,47.177
"NJ","reserve (no harvest)",50,46.503
"NJ","reserve (no harvest)",60,45.623
"NJ","reserve (no harvest)",70,44.444
"NJ","reserve (no harvest)",80,42.825
"NJ","reserve (no harvest)",90,40.938
"NJ","reserve (no harvest)",100,38.985
"NM","reserve (no harvest)",0,117.08
"NM","reserve (no harvest)",10,123.295
"NM","reserve (no harvest)",20,128.504
"NM","reserve (no harvest)",30,132.457
"NM","reserve (no harvest)",40,135.734
"NM","reserve (no harvest)",50,138.14
"NM","reserve (no harvest)",60,139.707
"NM","reserve (no harvest)",70,140.603
"NM","reserve (no harvest)",80,140.614
"NM","reserve (no harvest)",90,139.646
"NM","reserve (no harvest)",100,138.387
"NV","reserve (no harvest)",0,35.75
"NV","reserve (no harvest)",10,37.436
"NV","reserve (no harvest)",20,38.951
"NV","reserve (no harvest)",30,40.284
"NV","reserve (no harvest)",40,41.437
"NV","reserve (no harvest)",50,42.4
"NV","reserve (no harvest)",60,43.095
"NV","reserve (no harvest)",70,43.6
"NV","reserve (no harvest)",80,43.949
"NV","reserve (no harvest)",90,44.2
"NV","reserve (no harvest)",100,44.372
"NY","reserve (no harvest)",0,340.826
"NY","reserve (no harvest)",10,369.905
"NY","reserve (no harvest)",20,391.753
"NY","reserve (no harvest)",30,406.459
"NY","reserve (no harvest)",40,416.313
"NY","reserve (no harvest)",50,422.039
"NY","reserve (no harvest)",60,424.089
"NY","reserve (no harvest)",70,423.317
"NY","reserve (no harvest)",80,420.861
"NY","reserve (no harvest)",90,417.144
"NY","reserve (no harvest)",100,412.811
"OH","reserve (no harvest)",0,159.121
"OH","reserve (no harvest)",10,181.476
"OH","reserve (no harvest)",20,201.14
"OH","reserve (no harvest)",30,216.79
"OH","reserve (no harvest)",40,229.55
"OH","reserve (no harvest)",50,237.085
"OH","reserve (no harvest)",60,241.749
"OH","reserve (no harvest)",70,241.46
"OH","reserve (no harvest)",80,233.403
"OH","reserve (no harvest)",90,221.312
"OH","reserve (no harvest)",100,211.032
"OK","reserve (no harvest)",0,108.113
"OK","reserve (no harvest)",10,121.099
"OK","reserve (no harvest)",20,129.739
"OK","reserve (no harvest)",30,132.978
"OK","reserve (no harvest)",40,132.051
"OK","reserve (no harvest)",50,128.81
"OK","reserve (no harvest)",60,124.971
"OK","reserve (no harvest)",70,120.463
"OK","reserve (no harvest)",80,115.941
"OK","reserve (no harvest)",90,111.385
"OK","reserve (no harvest)",100,106.973
"OR","reserve (no harvest)",0,836.686
"OR","reserve (no harvest)",10,888.59
"OR","reserve (no harvest)",20,932.322
"OR","reserve (no harvest)",30,968.466
"OR","reserve (no harvest)",40,998.36
"OR","reserve (no harvest)",50,1022.711
"OR","reserve (no harvest)",60,1042.155
"OR","reserve (no harvest)",70,1057.785
"OR","reserve (no harvest)",80,1069.731
"OR","reserve (no harvest)",90,1078.526
"OR","reserve (no harvest)",100,1084.325
"PA","reserve (no harvest)",0,432.458
"PA","reserve (no harvest)",10,464.806
"PA","reserve (no harvest)",20,488.092
"PA","reserve (no harvest)",30,501.394
"PA","reserve (no harvest)",40,507.706
"PA","reserve (no harvest)",50,504.755
"PA","reserve (no harvest)",60,497.257
"PA","reserve (no harvest)",70,486.333
"PA","reserve (no harvest)",80,473.869
"PA","reserve (no harvest)",90,460.391
"PA","reserve (no harvest)",100,448.891
"RI","reserve (no harvest)",0,12.255
"RI","reserve (no harvest)",10,13.372
"RI","reserve (no harvest)",20,13.796
"RI","reserve (no harvest)",30,13.835
"RI","reserve (no harvest)",40,13.014
"RI","reserve (no harvest)",50,11.782
"RI","reserve (no harvest)",60,10.56
"RI","reserve (no harvest)",70,9.163
"RI","reserve (no harvest)",80,7.902
"RI","reserve (no harvest)",90,6.782
"RI","reserve (no harvest)",100,5.798
"SC","reserve (no harvest)",0,183.401
"SC","reserve (no harvest)",10,213.452
"SC","reserve (no harvest)",20,228.515
"SC","reserve (no harvest)",30,233.494
"SC","reserve (no harvest)",40,232.441
"SC","reserve (no harvest)",50,226.594
"SC","reserve (no harvest)",60,216.293
"SC","reserve (no harvest)",70,205.211
"SC","reserve (no harvest)",80,195.119
"SC","reserve (no harvest)",90,186.442
"SC","reserve (no harvest)",100,178.942
"SD","reserve (no harvest)",0,13.156
"SD","reserve (no harvest)",10,13.873
"SD","reserve (no harvest)",20,14.388
"SD","reserve (no harvest)",30,14.779
"SD","reserve (no harvest)",40,15.06
"SD","reserve (no harvest)",50,15.294
"SD","reserve (no harvest)",60,15.472
"SD","reserve (no harvest)",70,15.575
"SD","reserve (no harvest)",80,15.643
"SD","reserve (no harvest)",90,15.695
"SD","reserve (no harvest)",100,15.752
"TN","reserve (no harvest)",0,273.878
"TN","reserve (no harvest)",10,307.931
"TN","reserve (no harvest)",20,335.935
"TN","reserve (no harvest)",30,358.685
"TN","reserve (no harvest)",40,375.711
"TN","reserve (no harvest)",50,384.575
"TN","reserve (no harvest)",60,382.323
"TN","reserve (no harvest)",70,363.899
"TN","reserve (no harvest)",80,324.947
"TN","reserve (no harvest)",90,277.321
"TN","reserve (no harvest)",100,239.496
"TX","reserve (no harvest)",0,247.43
"TX","reserve (no harvest)",10,290.138
"TX","reserve (no harvest)",20,323.328
"TX","reserve (no harvest)",30,346.906
"TX","reserve (no harvest)",40,360.968
"TX","reserve (no harvest)",50,365.449
"TX","reserve (no harvest)",60,361.209
"TX","reserve (no harvest)",70,347.127
"TX","reserve (no harvest)",80,328.212
"TX","reserve (no harvest)",90,307.348
"TX","reserve (no harvest)",100,287.083
"UT","reserve (no harvest)",0,89.586
"UT","reserve (no harvest)",10,94.465
"UT","reserve (no harvest)",20,98.629
"UT","reserve (no harvest)",30,101.941
"UT","reserve (no harvest)",40,104.317
"UT","reserve (no harvest)",50,105.723
"UT","reserve (no harvest)",60,106.436
"UT","reserve (no harvest)",70,106.454
"UT","reserve (no harvest)",80,106.043
"UT","reserve (no harvest)",90,105.199
"UT","reserve (no harvest)",100,104.009
"VA","reserve (no harvest)",0,305.074
"VA","reserve (no harvest)",10,343.337
"VA","reserve (no harvest)",20,374.397
"VA","reserve (no harvest)",30,398.296
"VA","reserve (no harvest)",40,414.928
"VA","reserve (no harvest)",50,425.366
"VA","reserve (no harvest)",60,429.711
"VA","reserve (no harvest)",70,429.586
"VA","reserve (no harvest)",80,424.805
"VA","reserve (no harvest)",90,415.907
"VA","reserve (no harvest)",100,404.5
"VT","reserve (no harvest)",0,124.82
"VT","reserve (no harvest)",10,138.328
"VT","reserve (no harvest)",20,149.496
"VT","reserve (no harvest)",30,156.601
"VT","reserve (no harvest)",40,159.171
"VT","reserve (no harvest)",50,158.781
"VT","reserve (no harvest)",60,155.567
"VT","reserve (no harvest)",70,150.47
"VT","reserve (no harvest)",80,143.889
"VT","reserve (no harvest)",90,136.711
"VT","reserve (no harvest)",100,129.658
"WA","reserve (no harvest)",0,631.334
"WA","reserve (no harvest)",10,679.045
"WA","reserve (no harvest)",20,718.61
"WA","reserve (no harvest)",30,748.738
"WA","reserve (no harvest)",40,770.388
"WA","reserve (no harvest)",50,784.168
"WA","reserve (no harvest)",60,789.677
"WA","reserve (no harvest)",70,789.985
"WA","reserve (no harvest)",80,788.183
"WA","reserve (no harvest)",90,785.689
"WA","reserve (no harvest)",100,782.814
"WI","reserve (no harvest)",0,322.69
"WI","reserve (no harvest)",10,353.549
"WI","reserve (no harvest)",20,377.239
"WI","reserve (no harvest)",30,391.575
"WI","reserve (no harvest)",40,398.292
"WI","reserve (no harvest)",50,398.323
"WI","reserve (no harvest)",60,390.926
"WI","reserve (no harvest)",70,379.281
"WI","reserve (no harvest)",80,364.888
"WI","reserve (no harvest)",90,348.842
"WI","reserve (no harvest)",100,332.121
"WV","reserve (no harvest)",0,236.073
"WV","reserve (no harvest)",10,249.963
"WV","reserve (no harvest)",20,259.72
"WV","reserve (no harvest)",30,265.576
"WV","reserve (no harvest)",40,267.282
"WV","reserve (no harvest)",50,264.406
"WV","reserve (no harvest)",60,258.506
"WV","reserve (no harvest)",70,250.567
"WV","reserve (no harvest)",80,241.131
"WV","reserve (no harvest)",90,229.631
"WV","reserve (no harvest)",100,216.159
"WY","reserve (no harvest)",0,125.612
"WY","reserve (no harvest)",10,133.644
"WY","reserve (no harvest)",20,140.481
"WY","reserve (no harvest)",30,146.237
"WY","reserve (no harvest)",40,151.116
"WY","reserve (no harvest)",50,155.202
"WY","reserve (no harvest)",60,158.623
"WY","reserve (no harvest)",70,161.467
"WY","reserve (no harvest)",80,163.751
"WY","reserve (no harvest)",90,165.45
"WY","reserve (no harvest)",100,166.493
"AL","managed (harvest)",0,353.408
"AL","managed (harvest)",10,353.291
"AL","managed (harvest)",20,356.384
"AL","managed (harvest)",30,332.569
"AL","managed (harvest)",40,311.266
"AL","managed (harvest)",50,291.204
"AL","managed (harvest)",60,263.896
"AL","managed (harvest)",70,221.154
"AL","managed (harvest)",80,191.317
"AL","managed (harvest)",90,170.588
"AL","managed (harvest)",100,147.274
"AR","managed (harvest)",0,333.03
"AR","managed (harvest)",10,319.815
"AR","managed (harvest)",20,307.34
"AR","managed (harvest)",30,284.327
"AR","managed (harvest)",40,243.477
"AR","managed (harvest)",50,219.897
"AR","managed (harvest)",60,189.645
"AR","managed (harvest)",70,159.895
"AR","managed (harvest)",80,128.154
"AR","managed (harvest)",90,113.379
"AR","managed (harvest)",100,104.9
"AZ","managed (harvest)",0,100.782
"AZ","managed (harvest)",10,98.985
"AZ","managed (harvest)",20,96.261
"AZ","managed (harvest)",30,92.918
"AZ","managed (harvest)",40,89.601
"AZ","managed (harvest)",50,85.39
"AZ","managed (harvest)",60,81.323
"AZ","managed (harvest)",70,77.226
"AZ","managed (harvest)",80,72.833
"AZ","managed (harvest)",90,68.517
"AZ","managed (harvest)",100,64.659
"CA","managed (harvest)",0,525.415
"CA","managed (harvest)",10,494.867
"CA","managed (harvest)",20,472.346
"CA","managed (harvest)",30,455.682
"CA","managed (harvest)",40,431.971
"CA","managed (harvest)",50,412.112
"CA","managed (harvest)",60,395.785
"CA","managed (harvest)",70,379.295
"CA","managed (harvest)",80,355.257
"CA","managed (harvest)",90,336.127
"CA","managed (harvest)",100,326.145
"CO","managed (harvest)",0,241.696
"CO","managed (harvest)",10,233.181
"CO","managed (harvest)",20,227.608
"CO","managed (harvest)",30,221.035
"CO","managed (harvest)",40,214.42
"CO","managed (harvest)",50,203.854
"CO","managed (harvest)",60,192.229
"CO","managed (harvest)",70,179.798
"CO","managed (harvest)",80,165.79
"CO","managed (harvest)",90,153.944
"CO","managed (harvest)",100,142.875
"CT","managed (harvest)",0,27.85
"CT","managed (harvest)",10,26.206
"CT","managed (harvest)",20,21.14
"CT","managed (harvest)",30,19.396
"CT","managed (harvest)",40,15.255
"CT","managed (harvest)",50,13.817
"CT","managed (harvest)",60,10.745
"CT","managed (harvest)",70,9.439
"CT","managed (harvest)",80,7.314
"CT","managed (harvest)",90,6.676
"CT","managed (harvest)",100,5.362
"DE","managed (harvest)",0,13.337
"DE","managed (harvest)",10,11.268
"DE","managed (harvest)",20,9.653
"DE","managed (harvest)",30,8.437
"DE","managed (harvest)",40,8.448
"DE","managed (harvest)",50,8.209
"DE","managed (harvest)",60,6.906
"DE","managed (harvest)",70,6.066
"DE","managed (harvest)",80,6.377
"DE","managed (harvest)",90,6.432
"DE","managed (harvest)",100,5.317
"FL","managed (harvest)",0,165.378
"FL","managed (harvest)",10,162.48
"FL","managed (harvest)",20,158.105
"FL","managed (harvest)",30,141.425
"FL","managed (harvest)",40,126.672
"FL","managed (harvest)",50,115.604
"FL","managed (harvest)",60,101.941
"FL","managed (harvest)",70,80.828
"FL","managed (harvest)",80,67.048
"FL","managed (harvest)",90,62.518
"FL","managed (harvest)",100,59.088
"GA","managed (harvest)",0,266.527
"GA","managed (harvest)",10,282.9
"GA","managed (harvest)",20,274.8
"GA","managed (harvest)",30,266.221
"GA","managed (harvest)",40,244.956
"GA","managed (harvest)",50,236.752
"GA","managed (harvest)",60,196.326
"GA","managed (harvest)",70,156.033
"GA","managed (harvest)",80,119.513
"GA","managed (harvest)",90,107.867
"GA","managed (harvest)",100,86.579
"IA","managed (harvest)",0,39.798
"IA","managed (harvest)",10,35.255
"IA","managed (harvest)",20,30.852
"IA","managed (harvest)",30,26.105
"IA","managed (harvest)",40,22.677
"IA","managed (harvest)",50,18.74
"IA","managed (harvest)",60,14.249
"IA","managed (harvest)",70,9.762
"IA","managed (harvest)",80,8.416
"IA","managed (harvest)",90,7.005
"IA","managed (harvest)",100,5.064
"ID","managed (harvest)",0,299.187
"ID","managed (harvest)",10,297.113
"ID","managed (harvest)",20,292.441
"ID","managed (harvest)",30,290.496
"ID","managed (harvest)",40,278.303
"ID","managed (harvest)",50,265.316
"ID","managed (harvest)",60,251.712
"ID","managed (harvest)",70,232.467
"ID","managed (harvest)",80,210.599
"ID","managed (harvest)",90,192.232
"ID","managed (harvest)",100,173.472
"IL","managed (harvest)",0,82.199
"IL","managed (harvest)",10,76.463
"IL","managed (harvest)",20,66.864
"IL","managed (harvest)",30,59.708
"IL","managed (harvest)",40,48.188
"IL","managed (harvest)",50,39.669
"IL","managed (harvest)",60,30.136
"IL","managed (harvest)",70,23.076
"IL","managed (harvest)",80,17.945
"IL","managed (harvest)",90,13.117
"IL","managed (harvest)",100,10.659
"IN","managed (harvest)",0,110.811
"IN","managed (harvest)",10,99.82
"IN","managed (harvest)",20,90.136
"IN","managed (harvest)",30,82.057
"IN","managed (harvest)",40,71.831
"IN","managed (harvest)",50,62.558
"IN","managed (harvest)",60,49.476
"IN","managed (harvest)",70,39.324
"IN","managed (harvest)",80,29.037
"IN","managed (harvest)",90,22.378
"IN","managed (harvest)",100,16.499
"KS","managed (harvest)",0,10.974
"KS","managed (harvest)",10,9.412
"KS","managed (harvest)",20,8.572
"KS","managed (harvest)",30,7.352
"KS","managed (harvest)",40,6.416
"KS","managed (harvest)",50,5.583
"KS","managed (harvest)",60,4.629
"KS","managed (harvest)",70,3.354
"KS","managed (harvest)",80,2.224
"KS","managed (harvest)",90,1.544
"KS","managed (harvest)",100,1.21
"KY","managed (harvest)",0,265.042
"KY","managed (harvest)",10,237.3
"KY","managed (harvest)",20,213.306
"KY","managed (harvest)",30,189.873
"KY","managed (harvest)",40,153.641
"KY","managed (harvest)",50,123.903
"KY","managed (harvest)",60,96.966
"KY","managed (harvest)",70,75.465
"KY","managed (harvest)",80,54.883
"KY","managed (harvest)",90,42.742
"KY","managed (harvest)",100,35.576
"LA","managed (harvest)",0,217.564
"LA","managed (harvest)",10,210.052
"LA","managed (harvest)",20,213.395
"LA","managed (harvest)",30,203.636
"LA","managed (harvest)",40,195.161
"LA","managed (harvest)",50,187.764
"LA","managed (harvest)",60,173.2
"LA","managed (harvest)",70,151.437
"LA","managed (harvest)",80,131.906
"LA","managed (harvest)",90,117.3
"LA","managed (harvest)",100,103.549
"MA","managed (harvest)",0,52.864
"MA","managed (harvest)",10,47.372
"MA","managed (harvest)",20,42.585
"MA","managed (harvest)",30,39.155
"MA","managed (harvest)",40,34.436
"MA","managed (harvest)",50,31.41
"MA","managed (harvest)",60,26.458
"MA","managed (harvest)",70,24.093
"MA","managed (harvest)",80,21.262
"MA","managed (harvest)",90,18.415
