"scenario","HL_saw","HL_pulp","LF_FRAC","HL_lf","DF","net_stock_d","net_subst_d"
"managed (conservation)",35,4,0.15,50,0.6,2608,6003
"managed (conservation)",50,4,0.15,50,0.6,2924,6318
"managed (conservation)",25,2,0.3,50,0.6,2683,6077
"managed (conservation)",35,2,0.3,50,0.6,2947,6341
"managed (conservation)",50,2,0.3,50,0.6,3229,6624
"managed (conservation)",25,4,0.3,50,0.6,2719,6113
"managed (conservation)",35,4,0.3,50,0.6,2982,6377
"managed (conservation)",50,4,0.3,50,0.6,3265,6659
"managed (conservation)",25,2,0.5,50,0.6,3222,6617
"managed (conservation)",35,2,0.5,50,0.6,3447,6842
"managed (conservation)",50,2,0.5,50,0.6,3685,7080
"managed (conservation)",25,4,0.5,50,0.6,3256,6650
"managed (conservation)",35,4,0.5,50,0.6,3481,6875
"managed (conservation)",50,4,0.5,50,0.6,3719,7113
"managed (conservation)",25,2,0.15,100,0.6,2375,5769
"managed (conservation)",35,2,0.15,100,0.6,2659,6054
"managed (conservation)",50,2,0.15,100,0.6,2967,6361
"managed (conservation)",25,4,0.15,100,0.6,2410,5805
"managed (conservation)",35,4,0.15,100,0.6,2695,6090
"managed (conservation)",50,4,0.15,100,0.6,3003,6397
"managed (conservation)",25,2,0.3,100,0.6,2875,6270
"managed (conservation)",35,2,0.3,100,0.6,3123,6517
"managed (conservation)",50,2,0.3,100,0.6,3389,6784
"managed (conservation)",25,4,0.3,100,0.6,2908,6302
"managed (conservation)",35,4,0.3,100,0.6,3155,6550
"managed (conservation)",50,4,0.3,100,0.6,3422,6816
"managed (conservation)",25,2,0.5,100,0.6,3542,6937
"managed (conservation)",35,2,0.5,100,0.6,3741,7136
"managed (conservation)",50,2,0.5,100,0.6,3953,7347
"managed (conservation)",25,4,0.5,100,0.6,3571,6965
"managed (conservation)",35,4,0.5,100,0.6,3769,7164
"managed (conservation)",50,4,0.5,100,0.6,3981,7376
"managed (conservation)",25,2,0.15,200,0.6,2437,5831
"managed (conservation)",35,2,0.15,200,0.6,2717,6111
"managed (conservation)",50,2,0.15,200,0.6,3019,6414
"managed (conservation)",25,4,0.15,200,0.6,2471,5866
"managed (conservation)",35,4,0.15,200,0.6,2751,6146
"managed (conservation)",50,4,0.15,200,0.6,3054,6448
"managed (conservation)",25,2,0.3,200,0.6,3000,6394
"managed (conservation)",35,2,0.3,200,0.6,3237,6632
"managed (conservation)",50,2,0.3,200,0.6,3494,6888
"managed (conservation)",25,4,0.3,200,0.6,3030,6425
"managed (conservation)",35,4,0.3,200,0.6,3268,6662
"managed (conservation)",50,4,0.3,200,0.6,3524,6918
"managed (conservation)",25,2,0.5,200,0.6,3750,7145
"managed (conservation)",35,2,0.5,200,0.6,3932,7326
"managed (conservation)",50,2,0.5,200,0.6,4126,7521
"managed (conservation)",25,4,0.5,200,0.6,3775,7169
"managed (conservation)",35,4,0.5,200,0.6,3956,7351
"managed (conservation)",50,4,0.5,200,0.6,4151,7545
"managed (conservation)",25,2,0.15,50,0.9,2279,7370
"managed (conservation)",35,2,0.15,50,0.9,2571,7663
"managed (conservation)",50,2,0.15,50,0.9,2887,7978
"managed (conservation)",25,4,0.15,50,0.9,2316,7408
"managed (conservation)",35,4,0.15,50,0.9,2608,7700
"managed (conservation)",50,4,0.15,50,0.9,2924,8016
"managed (conservation)",25,2,0.3,50,0.9,2683,7775
"managed (conservation)",35,2,0.3,50,0.9,2947,8038
"managed (conservation)",50,2,0.3,50,0.9,3229,8321
"managed (conservation)",25,4,0.3,50,0.9,2719,7810
"managed (conservation)",35,4,0.3,50,0.9,2982,8074
"managed (conservation)",50,4,0.3,50,0.9,3265,8356
"managed (conservation)",25,2,0.5,50,0.9,3222,8314
"managed (conservation)",35,2,0.5,50,0.9,3447,8539
"managed (conservation)",50,2,0.5,50,0.9,3685,8777
"managed (conservation)",25,4,0.5,50,0.9,3256,8347
"managed (conservation)",35,4,0.5,50,0.9,3481,8572
"managed (conservation)",50,4,0.5,50,0.9,3719,8811
"managed (conservation)",25,2,0.15,100,0.9,2375,7466
"managed (conservation)",35,2,0.15,100,0.9,2659,7751
"managed (conservation)",50,2,0.15,100,0.9,2967,8059
"managed (conservation)",25,4,0.15,100,0.9,2410,7502
"managed (conservation)",35,4,0.15,100,0.9,2695,7787
"managed (conservation)",50,4,0.15,100,0.9,3003,8094
"managed (conservation)",25,2,0.3,100,0.9,2875,7967
"managed (conservation)",35,2,0.3,100,0.9,3123,8215
"managed (conservation)",50,2,0.3,100,0.9,3389,8481
"managed (conservation)",25,4,0.3,100,0.9,2908,7999
"managed (conservation)",35,4,0.3,100,0.9,3155,8247
"managed (conservation)",50,4,0.3,100,0.9,3422,8514
"managed (conservation)",25,2,0.5,100,0.9,3542,8634
"managed (conservation)",35,2,0.5,100,0.9,3741,8833
"managed (conservation)",50,2,0.5,100,0.9,3953,9044
"managed (conservation)",25,4,0.5,100,0.9,3571,8662
"managed (conservation)",35,4,0.5,100,0.9,3769,8861
"managed (conservation)",50,4,0.5,100,0.9,3981,9073
"managed (conservation)",25,2,0.15,200,0.9,2437,7529
"managed (conservation)",35,2,0.15,200,0.9,2717,7808
"managed (conservation)",50,2,0.15,200,0.9,3019,8111
"managed (conservation)",25,4,0.15,200,0.9,2471,7563
"managed (conservation)",35,4,0.15,200,0.9,2751,7843
"managed (conservation)",50,4,0.15,200,0.9,3054,8145
"managed (conservation)",25,2,0.3,200,0.9,3000,8092
"managed (conservation)",35,2,0.3,200,0.9,3237,8329
"managed (conservation)",50,2,0.3,200,0.9,3494,8585
"managed (conservation)",25,4,0.3,200,0.9,3030,8122
"managed (conservation)",35,4,0.3,200,0.9,3268,8359
"managed (conservation)",50,4,0.3,200,0.9,3524,8616
"managed (conservation)",25,2,0.5,200,0.9,3750,8842
"managed (conservation)",35,2,0.5,200,0.9,3932,9024
"managed (conservation)",50,2,0.5,200,0.9,4126,9218
"managed (conservation)",25,4,0.5,200,0.9,3775,8866
"managed (conservation)",35,4,0.5,200,0.9,3956,9048
"managed (conservation)",50,4,0.5,200,0.9,4151,9243
"managed (harvest)",25,2,0.15,50,0,-1006,-1006
"managed (harvest)",35,2,0.15,50,0,-424,-424
"managed (harvest)",50,2,0.15,50,0,218,218
"managed (harvest)",25,4,0.15,50,0,-948,-948
"managed (harvest)",35,4,0.15,50,0,-366,-366
"managed (harvest)",50,4,0.15,50,0,276,276
"managed (harvest)",25,2,0.3,50,0,-222,-222
"managed (harvest)",35,2,0.3,50,0,307,307
