"state","scenario","product","year_offset","bio_Tg"
"DE","reserve (no harvest)","sawtimber",10,8.198
"DE","reserve (no harvest)","sawtimber",20,10.256
"DE","reserve (no harvest)","sawtimber",30,10.524
"DE","reserve (no harvest)","sawtimber",40,11.029
"DE","reserve (no harvest)","sawtimber",50,11.636
"DE","reserve (no harvest)","sawtimber",60,12.344
"DE","reserve (no harvest)","sawtimber",70,12.765
"DE","reserve (no harvest)","sawtimber",80,13.199
"DE","reserve (no harvest)","sawtimber",90,13.549
"DE","reserve (no harvest)","sawtimber",100,13.875
"DE","reserve (no harvest)","pulpwood",0,7.231
"DE","reserve (no harvest)","pulpwood",10,6.782
"DE","reserve (no harvest)","pulpwood",20,6.042
"DE","reserve (no harvest)","pulpwood",30,6.214
"DE","reserve (no harvest)","pulpwood",40,6.523
"DE","reserve (no harvest)","pulpwood",50,6.733
"DE","reserve (no harvest)","pulpwood",60,6.662
"DE","reserve (no harvest)","pulpwood",70,6.879
"DE","reserve (no harvest)","pulpwood",80,7.036
"DE","reserve (no harvest)","pulpwood",90,7.218
"DE","reserve (no harvest)","pulpwood",100,7.391
"DE","reserve (no harvest)","residue",0,13.2
"DE","reserve (no harvest)","residue",10,15.163
"DE","reserve (no harvest)","residue",20,15.699
"DE","reserve (no harvest)","residue",30,16.973
"DE","reserve (no harvest)","residue",40,17.741
"DE","reserve (no harvest)","residue",50,18.402
"DE","reserve (no harvest)","residue",60,19.166
"DE","reserve (no harvest)","residue",70,19.85
"DE","reserve (no harvest)","residue",80,20.451
"DE","reserve (no harvest)","residue",90,21.053
"DE","reserve (no harvest)","residue",100,21.628
"FL","reserve (no harvest)","sawtimber",0,37.691
"FL","reserve (no harvest)","sawtimber",10,46.991
"FL","reserve (no harvest)","sawtimber",20,53.95
"FL","reserve (no harvest)","sawtimber",30,59.208
"FL","reserve (no harvest)","sawtimber",40,60.494
"FL","reserve (no harvest)","sawtimber",50,58.324
"FL","reserve (no harvest)","sawtimber",60,54.297
"FL","reserve (no harvest)","sawtimber",70,47.435
"FL","reserve (no harvest)","sawtimber",80,42.644
"FL","reserve (no harvest)","sawtimber",90,40.278
"FL","reserve (no harvest)","sawtimber",100,38.696
"FL","reserve (no harvest)","pulpwood",0,137.162
"FL","reserve (no harvest)","pulpwood",10,158.196
"FL","reserve (no harvest)","pulpwood",20,172.777
"FL","reserve (no harvest)","pulpwood",30,179.7
"FL","reserve (no harvest)","pulpwood",40,182.326
"FL","reserve (no harvest)","pulpwood",50,181.041
"FL","reserve (no harvest)","pulpwood",60,174.299
"FL","reserve (no harvest)","pulpwood",70,161.758
"FL","reserve (no harvest)","pulpwood",80,152.127
"FL","reserve (no harvest)","pulpwood",90,145.769
"FL","reserve (no harvest)","pulpwood",100,141.414
"FL","reserve (no harvest)","residue",0,159.36
"FL","reserve (no harvest)","residue",10,178.372
"FL","reserve (no harvest)","residue",20,187.482
"FL","reserve (no harvest)","residue",30,183.776
"FL","reserve (no harvest)","residue",40,182.268
"FL","reserve (no harvest)","residue",50,183.056
"FL","reserve (no harvest)","residue",60,177.843
"FL","reserve (no harvest)","residue",70,168.181
"FL","reserve (no harvest)","residue",80,159.315
"FL","reserve (no harvest)","residue",90,153.156
"FL","reserve (no harvest)","residue",100,148.917
"GA","reserve (no harvest)","sawtimber",0,107.381
"GA","reserve (no harvest)","sawtimber",10,135.266
"GA","reserve (no harvest)","sawtimber",20,172.591
"GA","reserve (no harvest)","sawtimber",30,201.842
"GA","reserve (no harvest)","sawtimber",40,210.638
"GA","reserve (no harvest)","sawtimber",50,201.08
"GA","reserve (no harvest)","sawtimber",60,173.428
"GA","reserve (no harvest)","sawtimber",70,142.886
"GA","reserve (no harvest)","sawtimber",80,122.992
"GA","reserve (no harvest)","sawtimber",90,110.664
"GA","reserve (no harvest)","sawtimber",100,100.777
"GA","reserve (no harvest)","pulpwood",0,180.605
"GA","reserve (no harvest)","pulpwood",10,216.008
"GA","reserve (no harvest)","pulpwood",20,236.791
"GA","reserve (no harvest)","pulpwood",30,249.189
